	Weight
Adherens junction	-1.3978982502355983
Apoptosis	1.4190831495806366
B cell receptor signaling pathway	-5.252898639438645
BIND	0.15375689940286436
Base excision repair	0.18153289920266324
BioGRID	-0.5214078877131537
CCND1_source	-0.13563221595175629
CCND1_target	0.3933997716139507
CORUM	0.2526217116494078
CTD	-1.7042563668857056
Cell cycle	0.19612956753298777
Cytokine-cytokine receptor interaction	-1.925330517389319
DIP	1.2894562502690246
ECM-receptor interaction	-2.665034102655672
ERBB2_source	1.2136378071599687
ERBB2_target	-1.6023318666705333
ESC proliferation	-2.1045863867035215
Epithelial-mesenchymal transition	9.350325512328345
ErbB signaling pathway	1.564562877561438
Focal adhesion	-0.4025307793206988
Glycolysis / Gluconeogenesis	-0.19987365720294498
HPRD	2.773280386641038
HumanCyc	-1.6999759080341923
INOH	-0.02761174054362222
IntAct	-0.41024998214367836
Jak-STAT signaling pathway	-0.9639187831475944
KEGG	-0.00799245783675475
MAPK signaling pathway	-4.570270407261174
MSigDB	0.6792178499200595
MYC_source	-5.011677635961901
MYC_target	3.4462257350216583
Mismatch repair	-0.040699169943358475
Multi-Drug Resistance Factors	6.611103367820131
Natural killer cell mediated cytotoxicity	0.06522054343491875
NetPath	-0.029442410217948925
Nucleotide excision repair	0.01764722326206941
PANTHER	0.47402112526895407
PIK3CA_source	0.2588238824920494
PIK3CA_target	-0.027063520488432538
PPAR signaling pathway	0.1534939022069131
Pathways in cancer	-2.214263568553888
PhosphoSite	1.431335285442654
Reactome	-3.281389897736969
Recon X	1.1354664305084923
SMPDB	2.4957040223892832
T cell receptor signaling pathway	0.02653705459687107
TGF-beta signaling pathway	0.8224688270767767
TP53_source	0.8018716624518417
TP53_target	0.006693912026333458
VEGF signaling pathway	-0.2476305399467612
WikiPathways	0.0420932631475801
Wnt signaling pathway	0.006290798448472685
catalysis-precedes_d	0.11816077971619801
catalysis-precedes_rev	0.19910192300926674
controls-expression-of_d	1.6047017408012203
controls-expression-of_rev	0.049920176661941346
controls-phosphorylation-of_d	-0.03998323096550403
controls-phosphorylation-of_rev	5.281776987120843
controls-state-change-of_d	-1.9899204705340663
controls-state-change-of_rev	-3.9638661096245404
controls-transport-of_d	4.133900865379805
controls-transport-of_rev	0.015249743228924945
fisherp_source	-1.8343454428245318
fisherp_target	0.8747965754936424
in-complex-with	-3.982007682571804
inflammatory response	-0.20318500877359993
interacts-with	-2.2008676682875503
mTOR signaling pathway	-1.0776000614189103
mutrate_source	0.07303135975500422
mutrate_target	1.9771744362373667
mutual_exclusive	-13.812448601006814
p53 signaling pathway	-0.010287802083059905
pid	0.4962989466139438
telomere maintenance	1.293116845543987
selfloop	3.0399569678776523
intercept	-10.24289293201525
